station,latitude,longitude,IncomingPassengers,OutgoingPassengers
бульвар рокоссовского,55.8148,37.7342,11923084.0,11973345.0
черкизовская,55.8038,37.7448,6768663.0,5918510.0
преображенская площадь,55.7963,37.7151,14787398.0,14953056.0
сокольники,55.7888,37.6802,12683076.0,13006092.0
красносельская,55.7801,37.6673,7035502.0,7207647.0
комсомольская,55.7753,37.6562,42645183.0,34526467.0
красные ворота,55.769,37.6487,8465374.0,8729339.0
чистые пруды,55.7657,37.6388,7340902.0,7665235.0
лубянка,55.7597,37.6272,9575708.0,9802189.0
охотный ряд,55.7577,37.6166,19046284.0,18678271.0
библиотека имени ленина,55.7512,37.61,0.0,0.0
кропоткинская,55.7453,37.6037,8899166.0,9251176.0
парк культуры,55.7356,37.5943,14686631.0,15381521.0
фрунзенская,55.7267,37.5786,10353223.0,10903609.0
спортивная,55.7233,37.5639,7902329.0,8610525.0
воробьёвы горы,55.7103,37.5592,4522542.0,4375487.0
университет,55.6926,37.5333,11552868.0,11709488.0
проспект вернадского,55.6771,37.506,11164967.0,11413066.0
юго-западная,55.6637,37.4833,18541254.0,18819195.0
тропарёво,55.6459,37.4725,6472598.0,6382330.0
румянцево,55.633,37.4419,4257179.0,4268609.0
саларьево,55.6219,37.4242,14155474.0,13176871.0
филатов луг,55.601367,37.407645,7529763.0,7336930.0
прокшино,55.586242,37.433802,2940756.0,2885599.0
ольховая,55.568643,37.459332,3729930.0,3526354.0
новомосковская,55.560396,37.46822,5667085.0,5571724.0
потапово,55.553,37.493,1757868.0,1719372.0
ховрино,55.878764,37.481493,16843551.0,15095163.0
беломорская,55.8658,37.4764,9763461.0,9293821.0
речной вокзал,55.8549,37.4761,9296859.0,9042614.0
водный стадион,55.8398,37.4867,14201984.0,14233746.0
войковская,55.819,37.498,16251450.0,16366008.0
сокол,55.8051,37.5153,12546913.0,12694356.0
аэропорт,55.8003,37.5329,12193044.0,12440683.0
динамо,55.7897,37.558,9964366.0,10113111.0
белорусская,55.7767,37.5835,26634802.0,25510394.0
маяковская,55.7701,37.5958,12696489.0,13194721.0
тверская,55.7647,37.6065,0.0,0.0
театральная,55.7578,37.619,0.0,0.0
новокузнецкая,55.7415,37.6295,11037420.0,11624137.0
павелецкая,55.7305,37.6377,29915356.0,28430204.0
автозаводская,55.7074,37.6576,14802416.0,15623871.0
технопарк,55.693861,37.664379,7774170.0,7852502.0
коломенская,55.6785,37.6638,14031503.0,14107627.0
каширская,55.6551,37.6487,10971240.0,11112009.0
кантемировская,55.6358,37.6564,10930128.0,10840915.0
царицыно,55.6214,37.6694,20681256.0,19703798.0
орехово,55.6132,37.6949,6160043.0,6006948.0
домодедовская,55.6108,37.7186,21077500.0,19749176.0
красногвардейская,55.6137,37.7444,6596738.0,6368388.0
алма-атинская,55.6326,37.766,4637803.0,4500420.0
пятницкое шоссе,55.8563,37.3544,6322581.0,5983261.0
митино,55.8457,37.3622,8791012.0,8422354.0
волоколамская,55.8354,37.3822,6719576.0,6505102.0
мякинино,55.8252,37.3852,5909724.0,5656818.0
строгино,55.8038,37.4031,10151685.0,9881813.0
крылатское,55.7567,37.4081,9796586.0,9624641.0
молодёжная,55.7408,37.4168,16001962.0,15759205.0
кунцевская,55.7307,37.4459,13575875.0,13493941.0
славянский бульвар,55.7296,37.4706,18996730.0,18327397.0
парк победы,55.7362,37.5182,7600390.0,7459535.0
киевская,55.744339,37.565509,25648796.0,24471282.0
смоленская,55.7474,37.5823,13428227.0,13890656.0
арбатская,55.7522,37.6061,11954601.0,12359648.0
площадь революции,55.7566,37.6216,12223995.0,12178112.0
курская,55.758039,37.658204,24541764.0,23285340.0
бауманская,55.773,37.6806,18635990.0,19482986.0
электрозаводская,55.7817,37.7037,18134251.0,20055653.0
семёновская,55.7833,37.7208,10423094.0,10718485.0
партизанская,55.7886,37.7506,7127272.0,6681342.0
измайловская,55.7878,37.7814,6402941.0,6449610.0
первомайская,55.7948,37.7993,11720123.0,11590108.0
щёлковская,55.8094,37.7986,25104983.0,23705686.0
пионерская,55.736,37.4671,2045936.0,1972347.0
филёвский парк,55.7396,37.4833,3291616.0,3178305.0
багратионовская,55.7438,37.4977,5554803.0,5566451.0
фили,55.746,37.515,6584096.0,6562059.0
кутузовская,55.7399,37.5344,10272175.0,11041538.0
студенческая,55.7388,37.5483,2124948.0,2126861.0
москва-сити,55.7483,37.5339,9058920.0,9639710.0
деловой центр,55.749976,37.541074,17406892.0,17460406.0
александровский сад,55.752433,37.60879,6704109.0,6790020.0
октябрьская,55.7297,37.6091,13538575.0,14169820.0
добрынинская,55.7291,37.6243,7420092.0,7770543.0
таганская,55.7418,37.6517,13893364.0,14413522.0
проспект мира,55.7798,37.6318,15410349.0,15983550.0
новослободская,55.7799,37.6028,10475188.0,11145986.0
краснопресненская,55.7613,37.5774,7957468.0,8080049.0
медведково,55.8872,37.6613,18765915.0,18069698.0
бабушкинская,55.8694,37.6644,16516379.0,16306986.0
свиблово,55.8552,37.6527,8310324.0,8298326.0
ботанический сад,55.8449,37.6383,12002368.0,13550738.0
вднх,55.8211,37.6411,28351886.0,26664639.0
алексеевская,55.8088,37.639,11082282.0,11310666.0
рижская,55.7936,37.6362,6905687.0,7093230.0
сухаревская,55.7733,37.6319,7127574.0,7503808.0
тургеневская,55.7661,37.6374,7104450.0,7522130.0
китай-город,55.7553,37.6333,21380284.0,22065265.0
третьяковская,55.7412,37.6274,10540784.0,11080316.0
шаболовская,55.7198,37.6083,8757766.0,9212306.0
ленинский проспект,55.7077,37.5861,12644610.0,14381432.0
академическая,55.6877,37.5733,11595003.0,11683305.0
профсоюзная,55.678,37.5627,10735729.0,10994582.0
новые черёмушки,55.6702,37.5544,11683506.0,11884655.0
калужская,55.6571,37.5405,8847362.0,9276650.0
беляево,55.6428,37.5257,12503995.0,12658962.0
коньково,55.6333,37.5188,9707680.0,9676135.0
тёплый стан,55.6191,37.5082,21011888.0,20645519.0
ясенево,55.6063,37.5333,10696850.0,10550298.0
новоясеневская,55.601,37.5541,2294467.0,2214892.0
планерная,55.8607,37.4364,13951567.0,13459574.0
сходненская,55.8505,37.4396,16956857.0,16623778.0
