grid_id,geometry,center_lon,center_lat,cafe_count,total_reviews_count,average_cafe_rating,school_count,university_count,mall_count,poi_count,chain_cafe_count,distance_to_metro,proximity_to_metro,foot_traffic_count,walkable_length_m,walkability_index,parking_count,parking_density
1,"POLYGON ((37.36281111656588 55.56705317788552, 37.36251211634255 55.574238701868076, 37.349829371602496 55.57406860756386, 37.350130685104496 55.56688312904956, 37.36281111656588 55.56705317788552))",37.35632081996328,55.57056101337575,0,0,0.0,1,0,0,1,0,4714.391810300104,0.4402144289500025,0,16532.241692641743,0.186,2,0.012
2,"POLYGON ((37.36251211634255 55.574238701868076, 37.362212981200805 55.58142421630113, 37.34952792213965 55.581254076512074, 37.349829371602496 55.57406860756386, 37.36251211634255 55.574238701868076))",37.3560205953779,55.57774650987442,0,0,0.0,0,0,0,0,0,4183.474525281398,0.5038092722972292,0,23803.05452679136,0.267,0,0.0
3,"POLYGON ((37.362212981200805 55.58142421630113, 37.361913711057376 55.5886097211848, 37.34922633663204 55.58843953589436, 37.34952792213965 55.581254076512074, 37.362212981200805 55.58142421630113))",37.35572023531108,55.58493199681539,0,0,0.0,0,0,1,1,8,3749.323680495989,0.5558131451080786,0,13965.92775612477,0.157,0,0.0
4,"POLYGON ((37.361913711057376 55.5886097211848, 37.36161430582892 55.5957952165193, 37.3489246149957 55.59562498571087, 37.34922633663204 55.58843953589436, 37.361913711057376 55.5886097211848))",37.35541973967922,55.59211747419882,24,85377,3.8210526315789473,1,0,0,1,1,3448.6804742327363,0.5918250779368353,0,11419.091284147627,0.128,2,0.012
5,"POLYGON ((37.36161430582892 55.5957952165193, 37.36131476543204 55.602980702304755, 37.34862275714659 55.60281042596175, 37.3489246149957 55.59562498571087, 37.36161430582892 55.5957952165193))",37.35511910839862,55.59930294202484,8,5009,4.35,0,0,1,1,3,3318.036461579833,0.607474004339037,0,53829.950708444565,0.605,50,0.307
6,"POLYGON ((37.36131476543204 55.602980702304755, 37.361015089783265 55.610166178541334, 37.34832076300058 55.60999585664716, 37.34862275714659 55.60281042596175, 37.36131476543204 55.602980702304755))",37.3548183413855,55.606488400293614,25,37056,3.985714285714285,0,0,0,0,0,3308.5653667025986,0.6086084801077496,1,39624.977883437,0.445,11,0.067
7,"POLYGON ((37.361015089783265 55.610166178541334, 37.36071527879905 55.6173516452292, 37.34801863247348 55.617181277767216, 37.34832076300058 55.60999585664716, 37.361015089783265 55.610166178541334))",37.35451743855607,55.61367384900532,0,0,0.0,0,0,0,0,0,2575.2344622563714,0.6964490257179661,0,12843.844294747156,0.144,0,0.0
8,"POLYGON ((37.36071527879905 55.6173516452292, 37.36041533239577 55.6245371023685, 37.347716365481034 55.62436668932211, 37.34801863247348 55.617181277767216, 37.36071527879905 55.6173516452292))",37.35421639982639,55.620859288160055,0,0,0.0,0,0,0,0,0,1896.591753709548,0.7777388574047461,0,7909.669715665184,0.089,0,0.0
9,"POLYGON ((37.36041533239577 55.6245371023685, 37.36011525048975 55.63172254995942, 37.34741396193892 55.63155209131195, 37.347716365481034 55.62436668932211, 37.36041533239577 55.6245371023685))",37.3539152251125,55.62804471775804,0,0,0.0,0,0,1,1,3,1293.8967697564617,0.8499314459156012,0,2590.387971432824,0.029,0,0.0
10,"POLYGON ((37.36011525048975 55.63172254995942, 37.359815032997226 55.63890798800209, 37.34711142176273 55.63873748373693, 37.34741396193892 55.63155209131195, 37.36011525048975 55.63172254995942))",37.35361391433037,55.63523013779936,12,27987,4.266666666666667,3,0,0,3,5,502.0518107725905,0.9447809781173944,0,26800.48064100316,0.301,10,0.061
